Log created: 2026-01-12 04:38:38
Type: staging
[2026-01-12 04:41:01][notice]The count of copied files: 500
[2026-01-12 04:41:01][notice]The next copying files starts from:44000
[2026-01-12 04:41:02][notice]The count of copied files: 500
[2026-01-12 04:41:02][notice]The next copying files starts from:44500
[2026-01-12 04:41:03][notice]The count of copied files: 500
[2026-01-12 04:41:03][notice]The next copying files starts from:45000
[2026-01-12 04:41:03][notice]The count of copied files: 500
[2026-01-12 04:41:03][notice]The next copying files starts from:45500
[2026-01-12 04:41:04][notice]The count of copied files: 500
[2026-01-12 04:41:04][notice]The next copying files starts from:46000
[2026-01-12 04:41:05][notice]The count of copied files: 500
[2026-01-12 04:41:05][notice]The next copying files starts from:46500
[2026-01-12 04:41:06][notice]The count of copied files: 500
[2026-01-12 04:41:06][notice]The next copying files starts from:47000
[2026-01-12 04:41:06][notice]The count of copied files: 500
[2026-01-12 04:41:06][notice]The next copying files starts from:47500
[2026-01-12 04:41:07][notice]The count of copied files: 500
[2026-01-12 04:41:07][notice]The next copying files starts from:48000
[2026-01-12 04:41:08][notice]The count of copied files: 500
[2026-01-12 04:41:08][notice]The next copying files starts from:48500
[2026-01-12 04:41:09][notice]The count of copied files: 500
[2026-01-12 04:41:09][notice]The next copying files starts from:49000
[2026-01-12 04:41:10][notice]The count of copied files: 500
[2026-01-12 04:41:10][notice]The next copying files starts from:49500
[2026-01-12 04:41:10][notice]The count of copied files: 500
[2026-01-12 04:41:10][notice]The next copying files starts from:50000
[2026-01-12 04:41:11][notice]The count of copied files: 500
[2026-01-12 04:41:11][notice]The next copying files starts from:50500
[2026-01-12 04:41:12][notice]The count of copied files: 500
[2026-01-12 04:41:12][notice]The next copying files starts from:51000
[2026-01-12 04:41:14][notice]The count of copied files: 500
[2026-01-12 04:41:14][notice]The next copying files starts from:51500
[2026-01-12 04:41:15][notice]The count of copied files: 500
[2026-01-12 04:41:15][notice]The next copying files starts from:52000
[2026-01-12 04:41:16][notice]The count of copied files: 500
[2026-01-12 04:41:16][notice]The next copying files starts from:52500
[2026-01-12 04:41:17][notice]The count of copied files: 500
[2026-01-12 04:41:17][notice]The next copying files starts from:53000
[2026-01-12 04:41:18][notice]The count of copied files: 500
[2026-01-12 04:41:18][notice]The next copying files starts from:53500
[2026-01-12 04:41:19][notice]The count of copied files: 500
[2026-01-12 04:41:19][notice]The next copying files starts from:54000
[2026-01-12 04:41:20][notice]The count of copied files: 500
[2026-01-12 04:41:20][notice]The next copying files starts from:54500
[2026-01-12 04:41:22][notice]The count of copied files: 500
[2026-01-12 04:41:22][notice]The next copying files starts from:55000
[2026-01-12 04:41:23][notice]The count of copied files: 500
[2026-01-12 04:41:23][notice]The next copying files starts from:55500
